Orthogroup	Species	Hsap	Orthologs
OG0000001	Nvec	MPTX_HUMAN	NV2t011287001.1, NV2t005668001.1, NV2t024724001.1, NV2t005004001.1, NV2t005003002.1, NV2t005003001.1, NV2t005003003.1, NV2t005342001.1, NV2t021002001.1, NV2t005569001.1, NV2t005573001.1, NV2t014921001.1, NV2t014920001.1, NV2t014920002.1, NV2t007828001.1, NV2t005939001.1, NV2t020944001.1, NV2t019491001.1, NV2t019491002.1, NV2t012137001.1, NV2t012135001.1, NV2t012135002.1, NV2t013352001.1, NV2t013355001.1, NV2t013350001.1, NV2t013353001.1, NV2t024991001.1, NV2t006474001.1, NV2t002389001.1
OG0000001	Pdam	MPTX_HUMAN	pdam_00011030-RA, pdam_00022917-RA, pdam_00022921-RA, pdam_00005542-RA, pdam_00022918-RA, pdam_00003158-RA, pdam_00012325-RA, pdam_00012327-RA, pdam_00018423-RA, pdam_00023809-RA, pdam_00000496-RA, pdam_00002501-RA, pdam_00002500-RA, pdam_00013752-RA, pdam_00023108-RA, pdam_00018878-RA, pdam_00023822-RA, pdam_00023465-RA, pdam_00009892-RA, pdam_00023808-RA, pdam_00014883-RA, pdam_00010378-RA, pdam_00019305-RA, pdam_00019304-RA, pdam_00025650-RA, pdam_00017601-RA, pdam_00021412-RA, pdam_00020826-RA, pdam_00025975-RA, pdam_00002718-RA, pdam_00010881-RA, pdam_00002717-RA, pdam_00012083-RA, pdam_00021415-RA, pdam_00021409-RA, pdam_00021413-RA, pdam_00014882-RA, pdam_00016269-RA, pdam_00024100-RA, pdam_00009602-RA, pdam_00025805-RA, pdam_00013657-RA, pdam_00021411-RA, pdam_00014857-RA, pdam_00006921-RA, pdam_00006920-RA, pdam_00006912-RA, pdam_00009255-RA, pdam_00024711-RA, pdam_00024655-RA, pdam_00006927-RA, pdam_00025637-RA, pdam_00025638-RA, pdam_00010012-RA, pdam_00014832-RA, pdam_00010196-RA, pdam_00005597-RA, pdam_00015086-RA, pdam_00015657-RA, pdam_00021431-RA, pdam_00025245-RA, pdam_00022407-RA, pdam_00017604-RA, pdam_00014352-RA, pdam_00014357-RA, pdam_00019221-RA, pdam_00014353-RA, pdam_00014355-RA, pdam_00014356-RA, pdam_00019220-RA, pdam_00018817-RA, pdam_00009501-RA, pdam_00011361-RA, pdam_00011386-RA, pdam_00021165-RA, pdam_00017668-RA, pdam_00026075-RA, pdam_00018811-RA, pdam_00023422-RA, pdam_00004091-RA, pdam_00005835-RA, pdam_00023421-RA, pdam_00018816-RA, pdam_00018813-RA, pdam_00023420-RA, pdam_00017669-RA, pdam_00017667-RA, pdam_00013642-RA, pdam_00005833-RA, pdam_00023812-RA, pdam_00023811-RA, pdam_00023813-RA, pdam_00011441-RA, pdam_00023814-RA, pdam_00008292-RA, pdam_00004097-RA, pdam_00025317-RA, pdam_00008293-RA, pdam_00023542-RA, pdam_00013649-RA, pdam_00013648-RA, pdam_00013664-RA, pdam_00013656-RA, pdam_00013653-RA, pdam_00013665-RA, pdam_00013651-RA, pdam_00013652-RA, pdam_00013655-RA, pdam_00013659-RA, pdam_00013663-RA, pdam_00013661-RA, pdam_00013662-RA, pdam_00019676-RA, pdam_00017279-RA, pdam_00016366-RA, pdam_00016365-RA, pdam_00021142-RA, pdam_00025229-RA, pdam_00018764-RA, pdam_00010266-RA, pdam_00019411-RA, pdam_00009177-RA, pdam_00009198-RA, pdam_00009196-RA, pdam_00007680-RA, pdam_00020560-RA, pdam_00020559-RA, pdam_00020561-RA, pdam_00019412-RA, pdam_00009961-RA, pdam_00003113-RA, pdam_00003114-RA, pdam_00003092-RA, pdam_00003103-RA, pdam_00002901-RA, pdam_00010661-RA, pdam_00012776-RA, pdam_00010663-RA, pdam_00010660-RA, pdam_00015286-RA, pdam_00015282-RA, pdam_00003115-RA, pdam_00025460-RA, pdam_00013064-RA, pdam_00004306-RA, pdam_00004299-RA, pdam_00008256-RA, pdam_00004333-RA, pdam_00007738-RA, pdam_00007509-RA, pdam_00016232-RA, pdam_00001885-RA, pdam_00002947-RA, pdam_00021152-RA, pdam_00016227-RA, pdam_00020913-RA, pdam_00020914-RA, pdam_00014371-RA, pdam_00025996-RA, pdam_00020917-RA, pdam_00020912-RA, pdam_00020916-RA, pdam_00015687-RA, pdam_00024201-RA, pdam_00002714-RA, pdam_00025977-RA, pdam_00020921-RA, pdam_00021082-RA, pdam_00024494-RA, pdam_00024495-RA, pdam_00020920-RA, pdam_00006922-RA, pdam_00006923-RA, pdam_00012864-RA, pdam_00024844-RA, pdam_00012865-RA, pdam_00018400-RA, pdam_00020911-RA, pdam_00022461-RA, pdam_00023257-RA, pdam_00023250-RA, pdam_00023251-RA, pdam_00025110-RA, pdam_00009699-RA, pdam_00025562-RA, pdam_00025809-RA, pdam_00019701-RA, pdam_00015682-RA, pdam_00003108-RA, pdam_00024497-RA, pdam_00015686-RA, pdam_00021093-RA, pdam_00022406-RA, pdam_00024186-RA, pdam_00020437-RA, pdam_00006916-RA, pdam_00023371-RA, pdam_00002799-RA, pdam_00004303-RA, pdam_00002801-RA, pdam_00018086-RA, pdam_00002800-RA, pdam_00002795-RA, pdam_00025463-RA, pdam_00002715-RA, pdam_00002716-RA, pdam_00024099-RA, pdam_00005010-RA, pdam_00006981-RA, pdam_00010662-RA, pdam_00006984-RA, pdam_00002914-RA, pdam_00021080-RA, pdam_00018069-RA, pdam_00009259-RA, pdam_00025722-RA, pdam_00023810-RA, pdam_00016951-RA, pdam_00021410-RA, pdam_00023541-RA, pdam_00016442-RA, pdam_00025089-RA, pdam_00021432-RA, pdam_00024524-RA
OG0000003	Pdam	ZN75A_HUMAN, ZN554_HUMAN, ZN485_HUMAN, Z354A_HUMAN, Z354B_HUMAN, ZN879_HUMAN, ZN311_HUMAN, ZFP90_HUMAN, ZN550_HUMAN, ZN460_HUMAN, ZN543_HUMAN, ZN264_HUMAN, ZN805_HUMAN, ZN599_HUMAN, ZN251_HUMAN, ZN707_HUMAN, ZNF7_HUMAN, Z354C_HUMAN, ZN620_HUMAN, ZN789_HUMAN, ZFP92_HUMAN, ZNF74_HUMAN, ZN454_HUMAN, ZN470_HUMAN, ZN471_HUMAN, ZFP28_HUMAN, ZN570_HUMAN, ZN583_HUMAN, ZN527_HUMAN, ZN542_HUMAN, ZN461_HUMAN, Z780A_HUMAN, Z780B_HUMAN, ZN283_HUMAN, ZN331_HUMAN, ZN540_HUMAN, ZN607_HUMAN, ZNF30_HUMAN, ZN573_HUMAN, ZN404_HUMAN, ZN546_HUMAN, ZN529_HUMAN, ZFP14_HUMAN, ZFP30_HUMAN, ZFP82_HUMAN, ZN790_HUMAN, ZN345_HUMAN, ZN850_HUMAN, ZN420_HUMAN, ZN565_HUMAN, ZN571_HUMAN, ZN582_HUMAN, ZN566_HUMAN, ZN383_HUMAN, ZN829_HUMAN, ZN140_HUMAN, ZN181_HUMAN, ZN302_HUMAN, ZN135_HUMAN, ZN544_HUMAN, ZN180_HUMAN, ZN606_HUMAN, ZNF10_HUMAN, ZN502_HUMAN, ZN619_HUMAN, ZN892_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN514_HUMAN, ZN391_HUMAN, ZNF80_HUMAN, ZN184_HUMAN, ZN596_HUMAN, Z705E_HUMAN, Z705A_HUMAN, Z705G_HUMAN, Z705B_HUMAN, Z705D_HUMAN, ZN317_HUMAN, ZN846_HUMAN, ZN560_HUMAN, ZN266_HUMAN, ZN121_HUMAN, ZN778_HUMAN, ZN559_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN, ZN177_HUMAN, ZN833_HUMAN, ZN891_HUMAN, ZN333_HUMAN, ZN557_HUMAN, ZN558_HUMAN, ZN782_HUMAN, ZN214_HUMAN, ZN285_HUMAN, ZN229_HUMAN, ZN233_HUMAN, ZN112_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN221_HUMAN, ZN225_HUMAN, ZN224_HUMAN, ZN284_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN222_HUMAN, ZN223_HUMAN, ZN235_HUMAN, ZNF45_HUMAN, ZN227_HUMAN, Z658B_HUMAN, ZN658_HUMAN, ZFP1_HUMAN, ZN487_HUMAN, ZN248_HUMAN, KRBD1_HUMAN, ZN510_HUMAN, RBAK_HUMAN, ZNF12_HUMAN, ZNF25_HUMAN, ZN334_HUMAN, ZN33A_HUMAN, ZN33B_HUMAN, ZN717_HUMAN, ZN157_HUMAN, ZN37A_HUMAN, ZN567_HUMAN, ZN382_HUMAN, ZIM3_HUMAN, ZN300_HUMAN, ZN630_HUMAN, KRBD4_HUMAN, ZN674_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN, ZN268_HUMAN, ZNF26_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN350_HUMAN, ZN649_HUMAN, ZN133_HUMAN, ZN169_HUMAN, ZN875_HUMAN, ZN337_HUMAN, ZN589_HUMAN, ZN343_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN, ZN568_HUMAN, ZN569_HUMAN, ZN624_HUMAN, ZN667_HUMAN, ZN684_HUMAN, ZN577_HUMAN, ZN793_HUMAN, ZN713_HUMAN, ZNF8_HUMAN, ZN840_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN	pdam_00017595-RA, pdam_00000673-RA
OG0000003	Mmus	Z354A_HUMAN	Z354A_MOUSE
OG0000003	Mmus	Z354B_HUMAN	Z354B_MOUSE
OG0000003	Mmus	ZN879_HUMAN	ZN879_MOUSE
OG0000003	Mmus	ZN311_HUMAN, ZFP90_HUMAN	ZFP90_MOUSE
OG0000003	Mmus	Z354C_HUMAN	Z354C_MOUSE
OG0000003	Mmus	ZN620_HUMAN, ZN789_HUMAN, ZFP92_HUMAN	ZFP92_MOUSE
OG0000003	Mmus	ZFP28_HUMAN	ZFP28_MOUSE
