Orthogroup	Hsap	Nvec
OG0000001	DZIP3_HUMAN	NV2t005425001.1, NV2t006998001.1, NV2t006998002.1, NV2t023676001.1, NV2t023433001.1, NV2t005383001.1, NV2t008569001.1, NV2t013518001.1, NV2t000648001.1, NV2t017149001.1, NV2t017149002.1, NV2t010530001.1
OG0000002	CRP_HUMAN, SAMP_HUMAN, MPTX_HUMAN	NV2t009731001.1, NV2t014358001.1, NV2t014358002.1, NV2t006615001.1, NV2t007044001.1, NV2t005871001.1, NV2t019700001.1, NV2t005881001.1, NV2t005880001.1, NV2t008679001.1, NV2t010243001.1, NV2t010243002.1, NV2t014643001.1, NV2t020787001.1, NV2t013623001.1, NV2t004309001.1, NV2t019489001.1, NV2t016090001.1, NV2t010474001.1, NV2t024006001.1, NV2t020788001.1, NV2t019485001.1, NV2t019486001.1, NV2t019486002.1, NV2t020785001.1, NV2t017327001.1, NV2t025186001.1
OG0000003	UROM_HUMAN, GP2_HUMAN	NV2t015016001.1, NV2t011903001.1, NV2t011904003.1, NV2t011904006.1, NV2t011904009.1, NV2t011904004.1, NV2t011904011.1, NV2t011904017.1, NV2t011904007.1, NV2t011904008.1, NV2t011904010.1, NV2t011904013.1, NV2t011904014.1, NV2t011904016.1, NV2t011904015.1, NV2t011904001.1, NV2t011904002.1, NV2t011904005.1, NV2t011904012.1, NV2t014524001.1, NV2t025182001.1, NV2t010176001.1, NV2t023746001.1, NV2t019957001.1, NV2t008000001.1, NV2t022307001.1, NV2t022306001.1, NV2t020124001.1, NV2t020124002.1, NV2t020124004.1, NV2t020124003.1, NV2t020124005.1, NV2t007079001.1, NV2t006411001.1, NV2t014921001.1, NV2t014920001.1, NV2t014920002.1, NV2t008771001.1, NV2t009307006.1, NV2t009307009.1, NV2t009307010.1, NV2t009307017.1, NV2t000849001.1, NV2t010370001.1, NV2t010398001.1, NV2t006474001.1, NV2t005046001.1, NV2t016998001.1, NV2t024865001.1, NV2t003071001.1, NV2t001244001.1, NV2t025572001.1, NV2t007390001.1
OG0000004	SPEGN_HUMAN	NV2t012263001.1, NV2t021535001.1, NV2t021535003.1, NV2t021535002.1, NV2t019855001.1, NV2t019862001.1, NV2t022081001.1
OG0000009	RTL1_HUMAN	NV2t002660003.1, NV2t004985001.1, NV2t013149003.1, NV2t013020001.1, NV2t022392001.1, NV2t004349001.1, NV2t015535001.1, NV2t013333001.1, NV2t024501001.1, NV2t012882001.1, NV2t009304001.1, NV2t016010001.1, NV2t023970001.1, NV2t010905001.1, NV2t010905002.1, NV2t002892001.1, NV2t016209001.1, NV2t004947001.1, NV2t024916001.1, NV2t024584001.1, NV2t009446001.1, NV2t009717001.1, NV2t023979001.1, NV2t008350001.1, NV2t002351001.1, NV2t012512001.1, NV2t011365001.1, NV2t017644004.1, NV2t020454001.1, NV2t025084001.1, NV2t011459002.1, NV2t011455001.1, NV2t011455002.1, NV2t011459001.1, NV2t010416001.1, NV2t017079001.1, NV2t006138001.1, NV2t004283001.1, NV2t011139001.1, NV2t022526001.1, NV2t025758001.1, NV2t019063001.1, NV2t006867001.1, NV2t007098001.1, NV2t017372001.1, NV2t002879001.1, NV2t019190001.1, NV2t002560001.1, NV2t017724001.1, NV2t001570001.1, NV2t001579001.1, NV2t010761001.1, NV2t006131001.1, NV2t006131002.1, NV2t025493001.1, NV2t009040003.1, NV2t019119001.1, NV2t004540001.1, NV2t008905001.1, NV2t023853001.1, NV2t009487001.1, NV2t020786001.1, NV2t024118001.1, NV2t019283001.1, NV2t025934001.1, NV2t017235001.1, NV2t005513001.1, NV2t007152001.1, NV2t022104001.1, NV2t002369001.1, NV2t017192001.1, NV2t017804001.1, NV2t005775001.1, NV2t001899001.1, NV2t000395001.1, NV2t015634001.1, NV2t018668001.1, NV2t014303001.1, NV2t000731001.1, NV2t021766001.1, NV2t000483001.1, NV2t005384001.1, NV2t017959001.1, NV2t019372001.1, NV2t019372002.1, NV2t000047001.1, NV2t024200001.1, NV2t001672001.1, NV2t006497001.1, NV2t006499001.1, NV2t006499002.1, NV2t001671002.1, NV2t001671003.1, NV2t024891001.1, NV2t006597001.1, NV2t016151001.1, NV2t020113001.1, NV2t000602001.1, NV2t003914001.1, NV2t024465001.1, NV2t006288004.1, NV2t006288001.1, NV2t006447001.1, NV2t018997001.1, NV2t018997002.1, NV2t010498001.1, NV2t021957001.1, NV2t017711001.1, NV2t025383001.1, NV2t001618001.1, NV2t023704001.1, NV2t015627001.1, NV2t009688001.1, NV2t025835001.1, NV2t009392001.1, NV2t001919001.1
OG0000013	GTD2A_HUMAN, GTD2B_HUMAN, ZMYM6_HUMAN, ZMYM3_HUMAN, ZMYM2_HUMAN, QRIC1_HUMAN, ZMYM4_HUMAN, ZMYM1_HUMAN, ZBED5_HUMAN, F200C_HUMAN, F200A_HUMAN, F200B_HUMAN, KRBD2_HUMAN, SCND3_HUMAN, ZN75C_HUMAN, ZN75D_HUMAN, ZN394_HUMAN, ZN449_HUMAN, ZSC22_HUMAN, ZSC26_HUMAN, ZN197_HUMAN, ZKSC7_HUMAN, ZN852_HUMAN, ZN445_HUMAN, ZN215_HUMAN, ZN483_HUMAN, ZN287_HUMAN, ZKSC5_HUMAN, ZSC16_HUMAN, ZSC9_HUMAN, ZSC23_HUMAN, ZSC12_HUMAN, ZN396_HUMAN, ZNF24_HUMAN, ZSC31_HUMAN, ZKSC3_HUMAN, ZKSC4_HUMAN, Z876P_HUMAN, ZKSC8_HUMAN, ZKSC1_HUMAN, ZN232_HUMAN, ZN397_HUMAN, ZSC30_HUMAN, ZN165_HUMAN, ZN213_HUMAN, ZSC21_HUMAN, ZN263_HUMAN, SCND2_HUMAN, ZKSC2_HUMAN, ZSC29_HUMAN, ZSC32_HUMAN, ZN500_HUMAN, ZSC20_HUMAN, ZSC25_HUMAN, ZN202_HUMAN, MZF1_HUMAN, ZN174_HUMAN, SCND1_HUMAN, ZSC18_HUMAN, ZSCA1_HUMAN, ZN446_HUMAN, ZN444_HUMAN, ZN496_HUMAN, ZSA5D_HUMAN, ZSA5C_HUMAN, ZSA5A_HUMAN, ZSA5B_HUMAN, ZNF18_HUMAN, ZN200_HUMAN, ZN826_HUMAN	NV2t006267001.1
OG0000016	GPR83_HUMAN, NK2R_HUMAN, NK1R_HUMAN, NK3R_HUMAN	NV2t010575001.1, NV2t010575005.1, NV2t010575002.1, NV2t010575004.1, NV2t010575003.1, NV2t010575006.1, NV2t010575007.1, NV2t011008001.1, NV2t016530001.1, NV2t016530002.1, NV2t016530003.1, NV2t016530004.1, NV2t016530005.1, NV2t009996001.1, NV2t010102001.1, NV2t010100001.1, NV2t010586001.1, NV2t010582001.1, NV2t010582002.1, NV2t009527001.1, NV2t009922001.1, NV2t008989001.1, NV2t000557001.1, NV2t010078001.1, NV2t010078002.1, NV2t009619001.1, NV2t009619002.1, NV2t009619003.1, NV2t021604001.1, NV2t021604002.1, NV2t021604003.1, NV2t021604004.1, NV2t021604005.1, NV2t021604006.1
OG0000017	XLRS1_HUMAN	NV2t024992001.1, NV2t009070002.1, NV2t000996001.1, NV2t020083004.1, NV2t020083005.1, NV2t001001001.1, NV2t001004001.1, NV2t019426001.1, NV2t019426002.1, NV2t024867001.1, NV2t025466001.1, NV2t015122001.1
OG0000018	CUZD1_HUMAN	NV2t012863001.1, NV2t012863002.1, NV2t012864001.1, NV2t011069001.1, NV2t023645001.1, NV2t025403001.1, NV2t025462001.1, NV2t025392001.1, NV2t025392002.1, NV2t025402001.1, NV2t025395001.1, NV2t025394001.1, NV2t025394002.1, NV2t025401001.1, NV2t025400001.1, NV2t025391001.1, NV2t024938002.1, NV2t024938001.1, NV2t025393003.1, NV2t025393001.1, NV2t025393002.1, NV2t024877001.1, NV2t021585001.1, NV2t024741004.1, NV2t024741002.1, NV2t024741001.1, NV2t024741003.1, NV2t024461001.1, NV2t024478001.1, NV2t024478002.1, NV2t005822001.1, NV2t021283003.1, NV2t021283001.1, NV2t021283002.1, NV2t021284001.1, NV2t021284002.1, NV2t005824001.1, NV2t005824002.1
OG0000019	SDK2_HUMAN, SDK1_HUMAN	NV2t006892001.1, NV2t006892002.1, NV2t006892003.1, NV2t006892004.1, NV2t001273002.1, NV2t000570001.1, NV2t016932001.1, NV2t010733001.1, NV2t000735001.1, NV2t012207001.1, NV2t012207002.1, NV2t019077001.1, NV2t020188001.1, NV2t020188002.1, NV2t022551001.1, NV2t017702001.1, NV2t011958001.1, NV2t011373002.1, NV2t011373001.1, NV2t016933001.1
