# SignalP-6.0	Organism: Eukarya	Timestamp: 20260616203250
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
pdam_00021773-RA protein Name:"Protein of unknown function" AED:0.06 eAED:0.06 QI:55|1|1|1|0.71|0.75|8|194|787	SP	0.000159	0.999855	CS pos: 24-25. Pr: 0.9810
pdam_00021770-RA protein Name:"Similar to TBC1D9 TBC1 domain family member 9 (Homo sapiens)" AED:0.10 eAED:0.11 QI:0|0.83|0.84|0.92|0.83|0.84|25|979|1357	OTHER	1.000000	0.000000	
pdam_00021774-RA protein Name:"Similar to nas-6 Zinc metalloproteinase nas-6 (Caenorhabditis elegans)" AED:0.17 eAED:0.17 QI:0|0|0|1|0.93|0.87|16|0|997	OTHER	0.666720	0.333278	
pdam_00021775-RA protein Name:"Protein of unknown function" AED:0.19 eAED:0.19 QI:0|-1|0|1|-1|1|1|0|113	OTHER	1.000000	0.000000	
pdam_00021772-RA protein Name:"Similar to ZCCHC7 Zinc finger CCHC domain-containing protein 7 (Bos taurus)" AED:0.30 eAED:0.30 QI:0|0.33|0.26|0.73|1|1|19|0|562	OTHER	1.000000	0.000000	
pdam_00021771-RA protein Name:"Similar to PHAX Phosphorylated adapter RNA export protein (Homo sapiens)" AED:0.11 eAED:0.11 QI:21|1|1|1|1|1|4|364|388	OTHER	1.000000	0.000000	
pdam_00021776-RA protein Name:"Protein of unknown function" AED:0.20 eAED:0.20 QI:0|0|0|0.5|1|1|2|0|166	OTHER	1.000000	0.000000	
pdam_00020563-RA protein Name:"Protein of unknown function" AED:0.08 eAED:0.08 QI:0|-1|0|1|-1|1|1|0|356	OTHER	0.999995	0.000000	
pdam_00020559-RA protein Name:"Protein of unknown function" AED:0.22 eAED:0.22 QI:218|0.5|0.36|1|0.2|0.27|11|0|816	SP	0.000143	0.999843	CS pos: 21-22. Pr: 0.9830
pdam_00020562-RA protein Name:"Protein of unknown function" AED:0.34 eAED:0.35 QI:0|-1|0|1|-1|1|1|0|219	OTHER	1.000000	0.000000	
pdam_00020558-RA protein Name:"Protein of unknown function" AED:0.22 eAED:0.22 QI:0|0|0|0.75|0.33|0.25|4|0|258	OTHER	1.000000	0.000000	
pdam_00020564-RA protein Name:"Protein of unknown function" AED:0.32 eAED:0.38 QI:0|0|0|0.83|0.8|0.66|6|0|108	OTHER	1.000000	0.000000	
pdam_00020560-RA protein Name:"Protein of unknown function" AED:0.40 eAED:0.40 QI:0|0.5|0.2|0.6|0.5|0.2|5|0|242	OTHER	0.999975	0.000003	
pdam_00020561-RA protein Name:"Protein of unknown function" AED:0.43 eAED:0.43 QI:0|-1|0|1|-1|1|1|0|123	OTHER	1.000000	0.000000	
pdam_00022008-RA protein Name:"Protein of unknown function" AED:0.08 eAED:0.08 QI:0|-1|0|1|-1|1|1|0|445	OTHER	1.000000	0.000000	
pdam_00022010-RA protein Name:"Similar to Strn3 Striatin-3 (Rattus norvegicus)" AED:0.16 eAED:0.16 QI:0|0.29|0.27|0.94|1|1|18|0|847	OTHER	1.000000	0.000000	
pdam_00022013-RA protein Name:"Similar to CA2 Carbonic anhydrase 2 (Homo sapiens)" AED:0.22 eAED:0.22 QI:95|1|1|1|0.85|0.87|8|951|317	SP	0.000151	0.999847	CS pos: 15-16. Pr: 0.9832
pdam_00022014-RA protein Name:"Similar to CA2 Carbonic anhydrase 2 (Homo sapiens)" AED:0.47 eAED:0.47 QI:0|0|0|0.75|0.57|0.5|8|0|355	SP	0.000174	0.999837	CS pos: 15-16. Pr: 0.9712
pdam_00022007-RA protein Name:"Similar to vipas39 Spermatogenesis-defective protein 39 homolog (Danio rerio)" AED:0.12 eAED:0.12 QI:0|0|0|1|1|1|5|0|158	OTHER	0.999997	0.000004	
pdam_00022012-RA protein Name:"Similar to cahz Carbonic anhydrase (Danio rerio)" AED:0.19 eAED:0.19 QI:0|0.2|0.16|0.66|0.8|0.66|6|44|276	SP	0.000224	0.999773	CS pos: 21-22. Pr: 0.9779
pdam_00022011-RA protein Name:"Similar to Edil3 EGF-like repeat and discoidin I-like domain-containing protein 3 (Mus musculus)" AED:0.15 eAED:0.19 QI:0|0.16|0|1|0.5|0.42|7|0|510	SP	0.496516	0.503474	CS pos: 32-33. Pr: 0.4781
pdam_00022009-RA protein Name:"Protein of unknown function" AED:0.20 eAED:0.20 QI:0|0.16|0|0.85|0.83|0.71|7|0|564	OTHER	0.999982	0.000000	
pdam_00012243-RA protein Name:"Protein of unknown function" AED:0.00 eAED:0.00 QI:0|-1|0|1|-1|1|1|0|166	OTHER	1.000000	0.000000	
pdam_00012250-RA protein Name:"Similar to Clcc1 Chloride channel CLIC-like protein 1 (Rattus norvegicus)" AED:0.04 eAED:0.04 QI:0|0|0|1|1|1|3|0|530	SP	0.000168	0.999817	CS pos: 21-22. Pr: 0.9355
pdam_00012251-RA protein Name:"Similar to Atp5d ATP synthase subunit delta, mitochondrial (Mus musculus)" AED:0.05 eAED:0.05 QI:93|1|1|1|1|1|4|268|162	OTHER	1.000000	0.000000	
pdam_00012268-RA protein Name:"Similar to BRIX1 Ribosome biogenesis protein BRX1 homolog (Bos taurus)" AED:0.06 eAED:0.06 QI:6|1|1|1|1|1|12|1314|299	OTHER	1.000000	0.000000	
pdam_00012269-RA protein Name:"Similar to Vldlr Very low-density lipoprotein receptor (Mus musculus)" AED:0.07 eAED:0.07 QI:557|0.87|0.94|1|0.87|1|17|1030|970	OTHER	0.833320	0.166665	
pdam_00012271-RA protein Name:"Protein of unknown function" AED:0.09 eAED:0.09 QI:0|-1|0|1|-1|1|1|0|289	OTHER	1.000000	0.000000	
pdam_00012266-RA protein Name:"Protein of unknown function" AED:0.07 eAED:0.10 QI:0|0|0|1|0|0.5|2|0|123	SP	0.000368	0.999625	CS pos: 53-54. Pr: 0.8240
pdam_00012254-RA protein Name:"Similar to cmpk UMP-CMP kinase (Danio rerio)" AED:0.11 eAED:0.11 QI:0|0.6|0.66|1|0.8|0.83|6|749|186	OTHER	1.000000	0.000000	
pdam_00012275-RA protein Name:"Similar to LRP4 Low-density lipoprotein receptor-related protein 4 (Homo sapiens)" AED:0.09 eAED:0.11 QI:0|0.33|0.15|1|0.75|0.69|13|0|1642	SP	0.166920	0.833108	CS pos: 32-33. Pr: 0.8021
pdam_00012241-RA protein Name:"Similar to KRI1 Protein KRI1 homolog (Bos taurus)" AED:0.12 eAED:0.12 QI:4565|0.96|0.93|1|0.75|0.72|29|160|718	OTHER	1.000000	0.000000	
pdam_00012274-RA protein Name:"Similar to SMARCA4 Transcription activator BRG1 (Homo sapiens)" AED:0.15 eAED:0.15 QI:120|0.94|0.92|1|0.97|0.95|40|270|1467	OTHER	1.000000	0.000000	
