# SignalP-6.0	Organism: Eukarya	Timestamp: 20260619054353
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
QW917_000002-T1	SP	0.000206	0.999796	CS pos: 23-24. Pr: 0.4612
QW917_000003-T1	OTHER	1.000000	0.000000	
QW917_000004-T1	OTHER	1.000000	0.000027	
QW917_000005-T1	OTHER	0.999986	0.000000	
QW917_000006-T1	SP	0.000180	0.999814	CS pos: 18-19. Pr: 0.4593
QW917_000007-T1	SP	0.000280	0.999735	CS pos: 20-21. Pr: 0.9802
QW917_000008-T1	OTHER	1.000000	0.000000	
QW917_000009-T1	OTHER	1.000000	0.000000	
QW917_000009-T2	OTHER	1.000000	0.000000	
QW917_000009-T3	OTHER	1.000000	0.000000	
QW917_000009-T4	OTHER	1.000000	0.000000	
QW917_000010-T1	OTHER	0.999978	0.000000	
QW917_000011-T1	SP	0.000173	0.999801	CS pos: 18-19. Pr: 0.9832
QW917_000012-T1	OTHER	1.000000	0.000000	
QW917_000013-T1	OTHER	1.000000	0.000000	
QW917_000014-T1	OTHER	1.000000	0.000000	
QW917_000015-T1	OTHER	1.000000	0.000000	
QW917_000016-T1	OTHER	1.000000	0.000000	
QW917_000017-T1	OTHER	0.999997	0.000000	
QW917_000018-T1	OTHER	1.000000	0.000000	
QW917_000019-T1	OTHER	1.000000	0.000000	
QW917_000020-T1	OTHER	1.000000	0.000000	
QW917_000021-T1	OTHER	1.000000	0.000000	
QW917_000022-T1	OTHER	1.000000	0.000000	
QW917_000023-T1	OTHER	1.000000	0.000000	
QW917_000023-T2	OTHER	1.000000	0.000000	
QW917_000025-T1	OTHER	1.000000	0.000000	
QW917_000026-T1	OTHER	1.000000	0.000000	
QW917_000027-T1	OTHER	1.000000	0.000000	
QW917_000028-T1	SP	0.000259	0.999771	CS pos: 21-22. Pr: 0.8972
QW917_000029-T1	SP	0.000150	0.999869	CS pos: 22-23. Pr: 0.9835
QW917_000030-T1	OTHER	1.000000	0.000000	
QW917_000032-T1	OTHER	1.000000	0.000000	
QW917_000033-T1	OTHER	1.000000	0.000000	
QW917_000034-T1	OTHER	1.000000	0.000000	
QW917_000035-T1	SP	0.000146	0.999854	CS pos: 20-21. Pr: 0.9821
QW917_000036-T1	SP	0.000160	0.999861	CS pos: 28-29. Pr: 0.9812
QW917_000037-T1	OTHER	1.000000	0.000000	
QW917_000038-T1	OTHER	0.999987	0.000000	
QW917_000039-T1	OTHER	1.000000	0.000000	
QW917_000040-T1	OTHER	0.999985	0.000000	
QW917_000041-T1	OTHER	1.000000	0.000000	
QW917_000042-T1	OTHER	1.000000	0.000000	
QW917_000043-T1	OTHER	1.000000	0.000000	
QW917_000044-T1	OTHER	1.000000	0.000000	
QW917_000045-T1	OTHER	1.000000	0.000000	
QW917_000046-T1	OTHER	1.000000	0.000000	
QW917_000047-T1	OTHER	1.000000	0.000000	
QW917_000048-T1	OTHER	1.000000	0.000000	
