Orthogroup	Nvec	Pdam
OG0000000	NV2t003518001.1	pdam_00011364-RA
OG0000000	NV2t021333001.1	pdam_00012301-RA, pdam_00008517-RA, pdam_00003636-RA, pdam_00013993-RA, pdam_00009781-RA, pdam_00000246-RA, pdam_00023944-RA, pdam_00011828-RA, pdam_00000185-RA, pdam_00000182-RA, pdam_00000183-RA, pdam_00010019-RA, pdam_00017414-RA, pdam_00019023-RA, pdam_00000184-RA, pdam_00013995-RA, pdam_00000186-RA, pdam_00025012-RA, pdam_00001277-RA, pdam_00025293-RA, pdam_00002927-RA, pdam_00008480-RA, pdam_00012639-RA, pdam_00020159-RA, pdam_00008037-RA, pdam_00020160-RA, pdam_00019728-RA, pdam_00012848-RA, pdam_00022220-RA, pdam_00022221-RA, pdam_00021674-RA, pdam_00005950-RA, pdam_00005951-RA, pdam_00005956-RA, pdam_00005952-RA, pdam_00005540-RA, pdam_00005783-RA, pdam_00024720-RA, pdam_00005539-RA, pdam_00024721-RA, pdam_00022618-RA, pdam_00022617-RA, pdam_00005541-RA, pdam_00005955-RA, pdam_00005953-RA, pdam_00022225-RA, pdam_00015266-RA, pdam_00020139-RA, pdam_00020138-RA, pdam_00020137-RA, pdam_00020161-RA, pdam_00016013-RA, pdam_00009061-RA, pdam_00013017-RA, pdam_00004570-RA, pdam_00007020-RA, pdam_00010601-RA, pdam_00021686-RA, pdam_00013047-RA, pdam_00019204-RA, pdam_00013042-RA, pdam_00021628-RA, pdam_00016587-RA, pdam_00016586-RA, pdam_00008470-RA, pdam_00008462-RA, pdam_00022314-RA, pdam_00022315-RA, pdam_00009747-RA, pdam_00019208-RA, pdam_00014096-RA, pdam_00020158-RA, pdam_00020163-RA, pdam_00020155-RA, pdam_00020162-RA, pdam_00001818-RA, pdam_00016614-RA, pdam_00014750-RA, pdam_00001867-RA
OG0000000	NV2t024024001.1, NV2t013321001.1	pdam_00017994-RA, pdam_00024917-RA
OG0000000	NV2t009840001.1, NV2t008085001.1, NV2t011411002.1, NV2t007402001.1, NV2t007714001.1, NV2t006236001.1, NV2t010201001.1, NV2t010201002.1, NV2t018273001.1	pdam_00020010-RA, pdam_00020009-RA, pdam_00018827-RA, pdam_00018826-RA, pdam_00003853-RA, pdam_00018825-RA, pdam_00011827-RA, pdam_00020018-RA, pdam_00018954-RA, pdam_00018958-RA, pdam_00018957-RA, pdam_00020017-RA, pdam_00013477-RA, pdam_00001363-RA, pdam_00004625-RA, pdam_00004624-RA, pdam_00001577-RA, pdam_00001578-RA, pdam_00008521-RA, pdam_00022814-RA, pdam_00008476-RA, pdam_00010935-RA, pdam_00008852-RA, pdam_00000862-RA, pdam_00019693-RA, pdam_00019692-RA, pdam_00024918-RA, pdam_00005428-RA, pdam_00000588-RA, pdam_00020726-RA, pdam_00020997-RA, pdam_00000567-RA, pdam_00000566-RA, pdam_00021568-RA, pdam_00014251-RA, pdam_00014252-RA, pdam_00022659-RA, pdam_00018785-RA, pdam_00018787-RA, pdam_00018784-RA, pdam_00022658-RA, pdam_00003104-RA, pdam_00005418-RA, pdam_00010676-RA, pdam_00005411-RA, pdam_00005412-RA, pdam_00019353-RA, pdam_00010677-RA, pdam_00012227-RA, pdam_00024913-RA, pdam_00024915-RA, pdam_00024914-RA, pdam_00024916-RA, pdam_00005419-RA, pdam_00003039-RA, pdam_00005424-RA, pdam_00022056-RA, pdam_00017300-RA, pdam_00020334-RA, pdam_00009748-RA, pdam_00009749-RA, pdam_00010254-RA, pdam_00018931-RA, pdam_00006158-RA, pdam_00003949-RA, pdam_00013562-RA, pdam_00020952-RA, pdam_00019715-RA, pdam_00010042-RA, pdam_00010017-RA, pdam_00010021-RA, pdam_00010020-RA, pdam_00024664-RA, pdam_00023478-RA, pdam_00024660-RA, pdam_00020156-RA, pdam_00017415-RA, pdam_00017418-RA, pdam_00017421-RA, pdam_00017420-RA, pdam_00006219-RA, pdam_00025073-RA, pdam_00025871-RA, pdam_00025956-RA, pdam_00024662-RA, pdam_00024661-RA, pdam_00024663-RA, pdam_00021854-RA, pdam_00025292-RA, pdam_00022567-RA, pdam_00014377-RA, pdam_00022571-RA, pdam_00022569-RA, pdam_00025433-RA, pdam_00025164-RA, pdam_00022062-RA, pdam_00019713-RA, pdam_00022568-RA, pdam_00025163-RA, pdam_00017417-RA, pdam_00021274-RA, pdam_00008505-RA, pdam_00008481-RA, pdam_00014375-RA, pdam_00025023-RA, pdam_00008478-RA, pdam_00008477-RA, pdam_00014376-RA, pdam_00008471-RA, pdam_00008475-RA, pdam_00008472-RA, pdam_00025022-RA, pdam_00008469-RA, pdam_00020513-RA, pdam_00023943-RA, pdam_00021273-RA, pdam_00019202-RA, pdam_00008516-RA, pdam_00008520-RA, pdam_00019714-RA, pdam_00016996-RA, pdam_00011963-RA, pdam_00021110-RA, pdam_00022916-RA, pdam_00024684-RA, pdam_00018548-RA, pdam_00018549-RA, pdam_00000040-RA, pdam_00000035-RA, pdam_00022548-RA, pdam_00025376-RA, pdam_00025375-RA, pdam_00023155-RA, pdam_00023156-RA, pdam_00004568-RA, pdam_00014523-RA, pdam_00003350-RA, pdam_00019504-RA, pdam_00006999-RA, pdam_00021112-RA, pdam_00019010-RA, pdam_00011826-RA, pdam_00006297-RA, pdam_00010934-RA, pdam_00025294-RA, pdam_00017143-RA, pdam_00011825-RA, pdam_00007212-RA, pdam_00005244-RA, pdam_00022066-RA, pdam_00005245-RA, pdam_00000181-RA, pdam_00011598-RA, pdam_00007791-RA, pdam_00000244-RA, pdam_00000243-RA, pdam_00010127-RA, pdam_00010128-RA, pdam_00007418-RA, pdam_00007417-RA, pdam_00008774-RA, pdam_00003805-RA, pdam_00008758-RA, pdam_00010904-RA, pdam_00020403-RA
OG0000000	NV2t014349001.1	pdam_00022889-RA, pdam_00009666-RA, pdam_00007596-RA, pdam_00000739-RA, pdam_00021287-RA, pdam_00010427-RA, pdam_00006824-RA, pdam_00006823-RA
OG0000001	NV2t005668001.1, NV2t024724001.1	pdam_00018817-RA, pdam_00009501-RA, pdam_00011361-RA, pdam_00011386-RA, pdam_00021165-RA, pdam_00017668-RA, pdam_00026075-RA, pdam_00018811-RA, pdam_00023422-RA, pdam_00004091-RA, pdam_00005835-RA, pdam_00023421-RA, pdam_00018816-RA, pdam_00018813-RA, pdam_00023420-RA, pdam_00017669-RA, pdam_00017667-RA, pdam_00013642-RA, pdam_00005833-RA, pdam_00023812-RA, pdam_00023811-RA, pdam_00023813-RA, pdam_00011441-RA, pdam_00023814-RA, pdam_00008292-RA, pdam_00004097-RA, pdam_00025317-RA, pdam_00008293-RA, pdam_00023542-RA
OG0000001	NV2t005004001.1, NV2t005003002.1, NV2t005003001.1, NV2t005003003.1	pdam_00013649-RA, pdam_00013648-RA, pdam_00013664-RA, pdam_00013656-RA, pdam_00013653-RA, pdam_00013665-RA, pdam_00013651-RA, pdam_00013652-RA, pdam_00013655-RA, pdam_00013659-RA, pdam_00013663-RA, pdam_00013661-RA, pdam_00013662-RA, pdam_00019676-RA, pdam_00017279-RA, pdam_00016366-RA, pdam_00016365-RA, pdam_00021142-RA, pdam_00025229-RA, pdam_00018764-RA, pdam_00010266-RA
OG0000001	NV2t005342001.1	pdam_00019411-RA, pdam_00009177-RA, pdam_00009198-RA, pdam_00009196-RA, pdam_00007680-RA, pdam_00020560-RA, pdam_00020559-RA, pdam_00020561-RA, pdam_00019412-RA, pdam_00009961-RA, pdam_00003113-RA, pdam_00003114-RA, pdam_00003092-RA, pdam_00003103-RA, pdam_00002901-RA, pdam_00010661-RA, pdam_00012776-RA, pdam_00010663-RA, pdam_00010660-RA, pdam_00015286-RA, pdam_00015282-RA
OG0000001	NV2t021002001.1, NV2t005569001.1, NV2t005573001.1	pdam_00004306-RA, pdam_00004299-RA, pdam_00008256-RA, pdam_00004333-RA, pdam_00007738-RA, pdam_00007509-RA, pdam_00016232-RA, pdam_00001885-RA, pdam_00002947-RA, pdam_00021152-RA, pdam_00016227-RA, pdam_00020913-RA, pdam_00020914-RA, pdam_00014371-RA, pdam_00025996-RA, pdam_00020917-RA, pdam_00020912-RA, pdam_00020916-RA, pdam_00015687-RA, pdam_00024201-RA, pdam_00002714-RA, pdam_00025977-RA, pdam_00020921-RA, pdam_00021082-RA, pdam_00024494-RA, pdam_00024495-RA, pdam_00020920-RA, pdam_00006922-RA, pdam_00006923-RA, pdam_00012864-RA, pdam_00024844-RA, pdam_00012865-RA, pdam_00018400-RA, pdam_00020911-RA, pdam_00022461-RA
OG0000001	NV2t014921001.1, NV2t014920001.1, NV2t014920002.1	pdam_00023257-RA, pdam_00023250-RA, pdam_00023251-RA, pdam_00025110-RA, pdam_00009699-RA
