Orthogroup	Hsap	Mmus
OG0000002	ZN227_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN221_HUMAN, ZN225_HUMAN, ZN224_HUMAN, ZN284_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN222_HUMAN, ZN223_HUMAN, ZN233_HUMAN, ZN235_HUMAN	ZN235_MOUSE
OG0000002	ZNF45_HUMAN, ZN112_HUMAN	ZN112_MOUSE
OG0000002	Z354A_HUMAN	Z354A_MOUSE
OG0000002	Z354B_HUMAN	Z354B_MOUSE
OG0000002	ZN879_HUMAN	ZN879_MOUSE
OG0000002	ZN620_HUMAN, Z354C_HUMAN	Z354C_MOUSE
OG0000002	ZN391_HUMAN, ZN892_HUMAN, ZN251_HUMAN, ZNF7_HUMAN, ZN485_HUMAN, ZN502_HUMAN, ZN184_HUMAN	ZN184_MOUSE
OG0000002	ZN667_HUMAN	ZN667_MOUSE
OG0000002	ZFP28_HUMAN	ZFP28_MOUSE
OG0000002	ZN570_HUMAN, ZN583_HUMAN	ZN583_MOUSE
OG0000002	ZFP14_HUMAN	ZFP14_MOUSE
OG0000002	ZFP82_HUMAN	ZFP82_MOUSE
OG0000002	ZFP30_HUMAN	ZFP30_MOUSE
OG0000002	ZN540_HUMAN, Z780A_HUMAN, Z780B_HUMAN	ZFP59_MOUSE, ZFP60_MOUSE
OG0000002	Z585A_HUMAN, Z585B_HUMAN	ZFP27_MOUSE
OG0000002	Z658B_HUMAN, ZN658_HUMAN	ZFP54_MOUSE
OG0000002	ZFP1_HUMAN	ZFP1_MOUSE
OG0000002	RBAK_HUMAN	RBAK_MOUSE
OG0000002	ZNF12_HUMAN	ZNF12_MOUSE
OG0000002	ZN567_HUMAN, ZN382_HUMAN	ZN382_MOUSE
OG0000002	ZN157_HUMAN, ZN717_HUMAN	ZFOI1_MOUSE, ZFP39_MOUSE, ZN809_MOUSE
OG0000002	KRBD4_HUMAN, ZN674_HUMAN, ZN793_HUMAN, ZN577_HUMAN, ZN484_HUMAN, ZNF41_HUMAN, ZN175_HUMAN, ZNF81_HUMAN, ZN268_HUMAN, ZNF26_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN350_HUMAN, ZN649_HUMAN, ZN133_HUMAN, ZN169_HUMAN, ZN875_HUMAN, ZN337_HUMAN, ZN343_HUMAN, ZN589_HUMAN, ZN300_HUMAN, ZN630_HUMAN, ZN182_HUMAN	ZN182_MOUSE
OG0000002	ZN569_HUMAN	ZN569_MOUSE
OG0000002	ZN568_HUMAN	ZN568_MOUSE
OG0000002	ZN426_HUMAN	ZN426_MOUSE
OG0000002	ZN121_HUMAN, ZN778_HUMAN, ZN560_HUMAN, ZN266_HUMAN	ZFP26_MOUSE
OG0000002	ZFP90_HUMAN	ZFP90_MOUSE
OG0000002	ZN542_HUMAN, ZN789_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN	ZFP69_MOUSE
OG0000002	ZN713_HUMAN, ZN75A_HUMAN, ZNF8_HUMAN	ZNF8_MOUSE
OG0000004	OR8A1_HUMAN	OR8A1_MOUSE
OG0000004	OR8B4_HUMAN	OL143_MOUSE
OG0000004	OR8B8_HUMAN, OR8BC_HUMAN	OR8B8_MOUSE
OG0000004	OR8B2_HUMAN, OR8B3_HUMAN	OR8B3_MOUSE
OG0000004	OR8G5_HUMAN	O8G17_MOUSE
OG0000004	OR8G1_HUMAN	O8G18_MOUSE
OG0000004	OR5R1_HUMAN	OR8U3_MOUSE
OG0000004	OR8U9_HUMAN, OR8U1_HUMAN, OR8U8_HUMAN	OR8U9_MOUSE
OG0000004	OR5M8_HUMAN, OR5M3_HUMAN, OR5M9_HUMAN, OR5MB_HUMAN, OR5M1_HUMAN, OR5MA_HUMAN	OR5M5_MOUSE
