Orthogroup	Hsap	Mmus
OG0000003	Z354A_HUMAN	Z354A_MOUSE
OG0000003	Z354B_HUMAN	Z354B_MOUSE
OG0000003	ZN879_HUMAN	ZN879_MOUSE
OG0000003	ZN311_HUMAN, ZFP90_HUMAN	ZFP90_MOUSE
OG0000003	Z354C_HUMAN	Z354C_MOUSE
OG0000003	ZN620_HUMAN, ZN789_HUMAN, ZFP92_HUMAN	ZFP92_MOUSE
OG0000003	ZFP28_HUMAN	ZFP28_MOUSE
OG0000003	ZN570_HUMAN, ZN583_HUMAN	ZN583_MOUSE
OG0000003	ZFP14_HUMAN	ZFP14_MOUSE
OG0000003	ZFP30_HUMAN, ZFP82_HUMAN	ZFP82_MOUSE
OG0000003	ZN135_HUMAN, ZN544_HUMAN, ZN180_HUMAN, ZN606_HUMAN, ZNF10_HUMAN, ZN502_HUMAN, ZN619_HUMAN, ZN892_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN514_HUMAN, ZN391_HUMAN, ZNF80_HUMAN, ZN184_HUMAN	ZN184_MOUSE
OG0000003	ZN846_HUMAN, ZN560_HUMAN, ZN266_HUMAN	ZFP26_MOUSE
OG0000003	ZN121_HUMAN, ZN778_HUMAN, ZN559_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN	ZN426_MOUSE
OG0000003	ZN233_HUMAN, ZN112_HUMAN	ZN112_MOUSE
OG0000003	ZN226_HUMAN, ZN234_HUMAN, ZN221_HUMAN, ZN225_HUMAN, ZN224_HUMAN, ZN284_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN222_HUMAN, ZN223_HUMAN, ZN235_HUMAN	ZN235_MOUSE
OG0000003	ZFP1_HUMAN	ZFP1_MOUSE
OG0000003	RBAK_HUMAN	RBAK_MOUSE
OG0000003	ZNF12_HUMAN	ZNF12_MOUSE
OG0000003	ZN37A_HUMAN, ZN567_HUMAN, ZN382_HUMAN	ZN382_MOUSE
OG0000003	ZN300_HUMAN, ZN630_HUMAN, KRBD4_HUMAN, ZN674_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN	ZFP27_MOUSE
OG0000003	ZN268_HUMAN, ZNF26_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN350_HUMAN, ZN649_HUMAN, ZN133_HUMAN, ZN169_HUMAN, ZN875_HUMAN, ZN337_HUMAN, ZN589_HUMAN, ZN343_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN	ZN182_MOUSE
OG0000003	ZN568_HUMAN, ZN569_HUMAN	ZN569_MOUSE
OG0000003	ZN624_HUMAN, ZN667_HUMAN	ZN667_MOUSE
OG0000003	ZN684_HUMAN, ZN577_HUMAN, ZN793_HUMAN, ZN713_HUMAN, ZNF8_HUMAN	ZNF8_MOUSE
OG0000003	ZN840_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN	ZFP69_MOUSE
OG0000005	OR8A1_HUMAN	OR8A1_MOUSE
OG0000005	OR8B4_HUMAN	OL143_MOUSE
OG0000005	OR8B8_HUMAN, OR8BC_HUMAN	OR8B8_MOUSE
OG0000005	OR8B2_HUMAN, OR8B3_HUMAN	OR8B3_MOUSE
OG0000005	OR8G5_HUMAN	O8G17_MOUSE
OG0000005	OR8G1_HUMAN	O8G18_MOUSE
OG0000005	OR5R1_HUMAN	OR8U3_MOUSE
OG0000005	OR8U9_HUMAN, OR8U1_HUMAN, OR8U8_HUMAN	OR8U9_MOUSE
OG0000005	OR5M8_HUMAN, OR5M3_HUMAN, OR5M9_HUMAN, OR5MB_HUMAN, OR5M1_HUMAN, OR5MA_HUMAN	OR5M5_MOUSE
OG0000005	OR5P2_HUMAN	OR5P6_MOUSE, O5P76_MOUSE, O5P69_MOUSE, O5P70_MOUSE, O5P73_MOUSE, O5P58_MOUSE, O5P60_MOUSE, O5P67_MOUSE, O5P68_MOUSE, O5P59_MOUSE, O5P72_MOUSE, O5P62_MOUSE, O5P64_MOUSE, O5P66_MOUSE, O5P79_MOUSE, O5P81_MOUSE, O5P50_MOUSE, O5P51_MOUSE
OG0000005	OR5P3_HUMAN	OR5P1_MOUSE, O5P55_MOUSE, O5P56_MOUSE, O5P54_MOUSE, O5P52_MOUSE, O5P53_MOUSE, OR5P4_MOUSE, O5P80_MOUSE, O5P87_MOUSE
OG0000005	OR5A1_HUMAN, OR5A2_HUMAN, O5AN1_HUMAN	O5AN6_MOUSE
OG0000005	O12D1_HUMAN, O5BS1_HUMAN, O13A1_HUMAN, O14CZ_HUMAN, O14A2_HUMAN, O14AG_HUMAN, O14I1_HUMAN, OR6K6_HUMAN, OR6Q1_HUMAN, OR6F1_HUMAN, OR6X1_HUMAN, OR6T1_HUMAN, OR6J1_HUMAN, OR6M1_HUMAN, OR6S1_HUMAN, OR6V1_HUMAN, OR9A2_HUMAN, OR9A4_HUMAN, OR9A1_HUMAN, O2AP1_HUMAN, OR6C4_HUMAN, O6C70_HUMAN, OR6C6_HUMAN, O6C65_HUMAN, O6C76_HUMAN, O6C75_HUMAN, OR6C1_HUMAN, OR6C3_HUMAN, O6C74_HUMAN, O6C68_HUMAN, OR6C2_HUMAN	OR6E1_MOUSE
OG0000005	OR5J2_HUMAN	OR5J3_MOUSE
OG0000005	OR5G3_HUMAN	OR5G9_MOUSE, O5G25_MOUSE, O5G26_MOUSE, O5G29_MOUSE
OG0000005	O5AP2_HUMAN	O5AP2_MOUSE
OG0000005	OR9K2_HUMAN, OR9H1_HUMAN	O9S13_MOUSE
OG0000005	OR5T1_HUMAN, OR5T3_HUMAN	O5T17_MOUSE, OR5T9_MOUSE
OG0000005	OR5T2_HUMAN	OL141_MOUSE
