Orthogroup	Hsap	Pdam
OG0000001	MPTX_HUMAN	pdam_00011030-RA, pdam_00022917-RA, pdam_00022921-RA, pdam_00005542-RA, pdam_00022918-RA, pdam_00003158-RA, pdam_00012325-RA, pdam_00012327-RA, pdam_00018423-RA, pdam_00023809-RA, pdam_00000496-RA, pdam_00002501-RA, pdam_00002500-RA, pdam_00013752-RA, pdam_00023108-RA, pdam_00018878-RA, pdam_00023822-RA, pdam_00023465-RA, pdam_00009892-RA, pdam_00023808-RA, pdam_00014883-RA, pdam_00010378-RA, pdam_00019305-RA, pdam_00019304-RA, pdam_00025650-RA, pdam_00017601-RA, pdam_00021412-RA, pdam_00020826-RA, pdam_00025975-RA, pdam_00002718-RA, pdam_00010881-RA, pdam_00002717-RA, pdam_00012083-RA, pdam_00021415-RA, pdam_00021409-RA, pdam_00021413-RA, pdam_00014882-RA, pdam_00016269-RA, pdam_00024100-RA, pdam_00009602-RA, pdam_00025805-RA, pdam_00013657-RA, pdam_00021411-RA, pdam_00014857-RA, pdam_00006921-RA, pdam_00006920-RA, pdam_00006912-RA, pdam_00009255-RA, pdam_00024711-RA, pdam_00024655-RA, pdam_00006927-RA, pdam_00025637-RA, pdam_00025638-RA, pdam_00010012-RA, pdam_00014832-RA, pdam_00010196-RA, pdam_00005597-RA, pdam_00015086-RA, pdam_00015657-RA, pdam_00021431-RA, pdam_00025245-RA, pdam_00022407-RA, pdam_00017604-RA, pdam_00014352-RA, pdam_00014357-RA, pdam_00019221-RA, pdam_00014353-RA, pdam_00014355-RA, pdam_00014356-RA, pdam_00019220-RA, pdam_00018817-RA, pdam_00009501-RA, pdam_00011361-RA, pdam_00011386-RA, pdam_00021165-RA, pdam_00017668-RA, pdam_00026075-RA, pdam_00018811-RA, pdam_00023422-RA, pdam_00004091-RA, pdam_00005835-RA, pdam_00023421-RA, pdam_00018816-RA, pdam_00018813-RA, pdam_00023420-RA, pdam_00017669-RA, pdam_00017667-RA, pdam_00013642-RA, pdam_00005833-RA, pdam_00023812-RA, pdam_00023811-RA, pdam_00023813-RA, pdam_00011441-RA, pdam_00023814-RA, pdam_00008292-RA, pdam_00004097-RA, pdam_00025317-RA, pdam_00008293-RA, pdam_00023542-RA, pdam_00013649-RA, pdam_00013648-RA, pdam_00013664-RA, pdam_00013656-RA, pdam_00013653-RA, pdam_00013665-RA, pdam_00013651-RA, pdam_00013652-RA, pdam_00013655-RA, pdam_00013659-RA, pdam_00013663-RA, pdam_00013661-RA, pdam_00013662-RA, pdam_00019676-RA, pdam_00017279-RA, pdam_00016366-RA, pdam_00016365-RA, pdam_00021142-RA, pdam_00025229-RA, pdam_00018764-RA, pdam_00010266-RA, pdam_00019411-RA, pdam_00009177-RA, pdam_00009198-RA, pdam_00009196-RA, pdam_00007680-RA, pdam_00020560-RA, pdam_00020559-RA, pdam_00020561-RA, pdam_00019412-RA, pdam_00009961-RA, pdam_00003113-RA, pdam_00003114-RA, pdam_00003092-RA, pdam_00003103-RA, pdam_00002901-RA, pdam_00010661-RA, pdam_00012776-RA, pdam_00010663-RA, pdam_00010660-RA, pdam_00015286-RA, pdam_00015282-RA, pdam_00003115-RA, pdam_00025460-RA, pdam_00013064-RA, pdam_00004306-RA, pdam_00004299-RA, pdam_00008256-RA, pdam_00004333-RA, pdam_00007738-RA, pdam_00007509-RA, pdam_00016232-RA, pdam_00001885-RA, pdam_00002947-RA, pdam_00021152-RA, pdam_00016227-RA, pdam_00020913-RA, pdam_00020914-RA, pdam_00014371-RA, pdam_00025996-RA, pdam_00020917-RA, pdam_00020912-RA, pdam_00020916-RA, pdam_00015687-RA, pdam_00024201-RA, pdam_00002714-RA, pdam_00025977-RA, pdam_00020921-RA, pdam_00021082-RA, pdam_00024494-RA, pdam_00024495-RA, pdam_00020920-RA, pdam_00006922-RA, pdam_00006923-RA, pdam_00012864-RA, pdam_00024844-RA, pdam_00012865-RA, pdam_00018400-RA, pdam_00020911-RA, pdam_00022461-RA, pdam_00023257-RA, pdam_00023250-RA, pdam_00023251-RA, pdam_00025110-RA, pdam_00009699-RA, pdam_00025562-RA, pdam_00025809-RA, pdam_00019701-RA, pdam_00015682-RA, pdam_00003108-RA, pdam_00024497-RA, pdam_00015686-RA, pdam_00021093-RA, pdam_00022406-RA, pdam_00024186-RA, pdam_00020437-RA, pdam_00006916-RA, pdam_00023371-RA, pdam_00002799-RA, pdam_00004303-RA, pdam_00002801-RA, pdam_00018086-RA, pdam_00002800-RA, pdam_00002795-RA, pdam_00025463-RA, pdam_00002715-RA, pdam_00002716-RA, pdam_00024099-RA, pdam_00005010-RA, pdam_00006981-RA, pdam_00010662-RA, pdam_00006984-RA, pdam_00002914-RA, pdam_00021080-RA, pdam_00018069-RA, pdam_00009259-RA, pdam_00025722-RA, pdam_00023810-RA, pdam_00016951-RA, pdam_00021410-RA, pdam_00023541-RA, pdam_00016442-RA, pdam_00025089-RA, pdam_00021432-RA, pdam_00024524-RA
OG0000003	ZN75A_HUMAN, ZN554_HUMAN, ZN485_HUMAN, Z354A_HUMAN, Z354B_HUMAN, ZN879_HUMAN, ZN311_HUMAN, ZFP90_HUMAN, ZN550_HUMAN, ZN460_HUMAN, ZN543_HUMAN, ZN264_HUMAN, ZN805_HUMAN, ZN599_HUMAN, ZN251_HUMAN, ZN707_HUMAN, ZNF7_HUMAN, Z354C_HUMAN, ZN620_HUMAN, ZN789_HUMAN, ZFP92_HUMAN, ZNF74_HUMAN, ZN454_HUMAN, ZN470_HUMAN, ZN471_HUMAN, ZFP28_HUMAN, ZN570_HUMAN, ZN583_HUMAN, ZN527_HUMAN, ZN542_HUMAN, ZN461_HUMAN, Z780A_HUMAN, Z780B_HUMAN, ZN283_HUMAN, ZN331_HUMAN, ZN540_HUMAN, ZN607_HUMAN, ZNF30_HUMAN, ZN573_HUMAN, ZN404_HUMAN, ZN546_HUMAN, ZN529_HUMAN, ZFP14_HUMAN, ZFP30_HUMAN, ZFP82_HUMAN, ZN790_HUMAN, ZN345_HUMAN, ZN850_HUMAN, ZN420_HUMAN, ZN565_HUMAN, ZN571_HUMAN, ZN582_HUMAN, ZN566_HUMAN, ZN383_HUMAN, ZN829_HUMAN, ZN140_HUMAN, ZN181_HUMAN, ZN302_HUMAN, ZN135_HUMAN, ZN544_HUMAN, ZN180_HUMAN, ZN606_HUMAN, ZNF10_HUMAN, ZN502_HUMAN, ZN619_HUMAN, ZN892_HUMAN, Z286A_HUMAN, Z286B_HUMAN, ZN514_HUMAN, ZN391_HUMAN, ZNF80_HUMAN, ZN184_HUMAN, ZN596_HUMAN, Z705E_HUMAN, Z705A_HUMAN, Z705G_HUMAN, Z705B_HUMAN, Z705D_HUMAN, ZN317_HUMAN, ZN846_HUMAN, ZN560_HUMAN, ZN266_HUMAN, ZN121_HUMAN, ZN778_HUMAN, ZN559_HUMAN, ZN561_HUMAN, ZN562_HUMAN, ZN426_HUMAN, ZN177_HUMAN, ZN833_HUMAN, ZN891_HUMAN, ZN333_HUMAN, ZN557_HUMAN, ZN558_HUMAN, ZN782_HUMAN, ZN214_HUMAN, ZN285_HUMAN, ZN229_HUMAN, ZN233_HUMAN, ZN112_HUMAN, ZN226_HUMAN, ZN234_HUMAN, ZN221_HUMAN, ZN225_HUMAN, ZN224_HUMAN, ZN284_HUMAN, ZN155_HUMAN, ZN230_HUMAN, ZN222_HUMAN, ZN223_HUMAN, ZN235_HUMAN, ZNF45_HUMAN, ZN227_HUMAN, Z658B_HUMAN, ZN658_HUMAN, ZFP1_HUMAN, ZN487_HUMAN, ZN248_HUMAN, KRBD1_HUMAN, ZN510_HUMAN, RBAK_HUMAN, ZNF12_HUMAN, ZNF25_HUMAN, ZN334_HUMAN, ZN33A_HUMAN, ZN33B_HUMAN, ZN717_HUMAN, ZN157_HUMAN, ZN37A_HUMAN, ZN567_HUMAN, ZN382_HUMAN, ZIM3_HUMAN, ZN300_HUMAN, ZN630_HUMAN, KRBD4_HUMAN, ZN674_HUMAN, ZNF41_HUMAN, ZNF81_HUMAN, ZN484_HUMAN, ZN175_HUMAN, Z585A_HUMAN, Z585B_HUMAN, ZN268_HUMAN, ZNF26_HUMAN, ZN432_HUMAN, ZN615_HUMAN, ZN614_HUMAN, ZN613_HUMAN, ZN350_HUMAN, ZN649_HUMAN, ZN133_HUMAN, ZN169_HUMAN, ZN875_HUMAN, ZN337_HUMAN, ZN589_HUMAN, ZN343_HUMAN, ZN605_HUMAN, ZNF84_HUMAN, ZN182_HUMAN, ZN568_HUMAN, ZN569_HUMAN, ZN624_HUMAN, ZN667_HUMAN, ZN684_HUMAN, ZN577_HUMAN, ZN793_HUMAN, ZN713_HUMAN, ZNF8_HUMAN, ZN840_HUMAN, ZF69B_HUMAN, ZFP69_HUMAN	pdam_00017595-RA, pdam_00000673-RA
OG0000008	JAM1_HUMAN, JAM3_HUMAN, JAM2_HUMAN	pdam_00023708-RA, pdam_00020574-RA, pdam_00020575-RA, pdam_00004129-RA, pdam_00021344-RA, pdam_00021343-RA, pdam_00026001-RA, pdam_00023532-RA, pdam_00020576-RA, pdam_00024254-RA, pdam_00024255-RA, pdam_00002288-RA, pdam_00017923-RA, pdam_00025823-RA, pdam_00025727-RA, pdam_00023748-RA, pdam_00020793-RA, pdam_00024963-RA, pdam_00024900-RA, pdam_00023733-RA, pdam_00004821-RA, pdam_00022549-RA, pdam_00015914-RA, pdam_00016193-RA, pdam_00018978-RA, pdam_00018976-RA, pdam_00014274-RA, pdam_00023299-RA, pdam_00023298-RA, pdam_00018980-RA, pdam_00018974-RA, pdam_00018977-RA, pdam_00021977-RA, pdam_00014277-RA, pdam_00014276-RA, pdam_00024928-RA, pdam_00023709-RA, pdam_00024000-RA, pdam_00024001-RA, pdam_00023999-RA, pdam_00016661-RA, pdam_00016664-RA, pdam_00022230-RA, pdam_00025215-RA, pdam_00014851-RA, pdam_00025283-RA, pdam_00023728-RA, pdam_00023707-RA, pdam_00014831-RA, pdam_00014852-RA, pdam_00023729-RA, pdam_00023698-RA, pdam_00023699-RA, pdam_00020783-RA, pdam_00024814-RA, pdam_00025772-RA, pdam_00016104-RA, pdam_00016099-RA, pdam_00016102-RA, pdam_00020786-RA, pdam_00024437-RA, pdam_00024438-RA, pdam_00023697-RA, pdam_00001043-RA, pdam_00020781-RA, pdam_00020780-RA, pdam_00023696-RA, pdam_00020778-RA, pdam_00020782-RA, pdam_00021979-RA, pdam_00022229-RA, pdam_00023531-RA, pdam_00016103-RA, pdam_00016101-RA, pdam_00016098-RA, pdam_00016100-RA, pdam_00025043-RA, pdam_00021976-RA, pdam_00021975-RA, pdam_00024813-RA, pdam_00023732-RA, pdam_00003862-RA, pdam_00020573-RA, pdam_00020572-RA, pdam_00000224-RA, pdam_00000895-RA, pdam_00011127-RA, pdam_00018270-RA, pdam_00022997-RA, pdam_00014043-RA, pdam_00016192-RA, pdam_00018132-RA, pdam_00012852-RA, pdam_00012850-RA, pdam_00013942-RA, pdam_00024747-RA, pdam_00014218-RA, pdam_00024748-RA, pdam_00006541-RA, pdam_00014275-RA, pdam_00024846-RA, pdam_00014942-RA, pdam_00015661-RA, pdam_00022272-RA
OG0000011	KRBD2_HUMAN	pdam_00006363-RA, pdam_00023516-RA, pdam_00003274-RA, pdam_00012591-RA, pdam_00021739-RA, pdam_00023661-RA, pdam_00007111-RA, pdam_00007117-RA, pdam_00021738-RA, pdam_00007119-RA, pdam_00011487-RA, pdam_00007125-RA, pdam_00007109-RA, pdam_00021776-RA, pdam_00002956-RA, pdam_00026027-RA, pdam_00022727-RA, pdam_00016536-RA, pdam_00016538-RA, pdam_00007124-RA, pdam_00019984-RA, pdam_00011486-RA, pdam_00007110-RA, pdam_00007118-RA, pdam_00024521-RA, pdam_00012163-RA, pdam_00025890-RA, pdam_00025331-RA, pdam_00017827-RA, pdam_00024282-RA, pdam_00022335-RA, pdam_00016662-RA, pdam_00017627-RA, pdam_00016218-RA, pdam_00025362-RA, pdam_00024522-RA, pdam_00015684-RA, pdam_00023660-RA, pdam_00006287-RA, pdam_00023605-RA, pdam_00023606-RA, pdam_00026074-RA, pdam_00022002-RA, pdam_00017264-RA, pdam_00022000-RA, pdam_00022001-RA, pdam_00022729-RA, pdam_00016213-RA, pdam_00016211-RA, pdam_00016296-RA, pdam_00016215-RA, pdam_00016214-RA, pdam_00016217-RA, pdam_00001625-RA, pdam_00016216-RA, pdam_00011309-RA, pdam_00003390-RA, pdam_00003389-RA, pdam_00021999-RA, pdam_00021998-RA, pdam_00025578-RA, pdam_00022730-RA, pdam_00023223-RA, pdam_00023224-RA, pdam_00013766-RA, pdam_00013767-RA, pdam_00013768-RA, pdam_00024520-RA, pdam_00024214-RA, pdam_00024665-RA, pdam_00022334-RA, pdam_00022804-RA, pdam_00021310-RA, pdam_00010062-RA, pdam_00010063-RA, pdam_00017161-RA, pdam_00024909-RA, pdam_00002089-RA, pdam_00022867-RA, pdam_00023069-RA, pdam_00010059-RA, pdam_00023659-RA, pdam_00016400-RA, pdam_00017157-RA, pdam_00017156-RA, pdam_00024281-RA, pdam_00021309-RA, pdam_00024280-RA, pdam_00023352-RA, pdam_00023426-RA, pdam_00015683-RA, pdam_00015681-RA, pdam_00019307-RA, pdam_00019306-RA, pdam_00019308-RA, pdam_00021659-RA, pdam_00021656-RA, pdam_00021654-RA, pdam_00021657-RA, pdam_00021646-RA, pdam_00021648-RA, pdam_00018683-RA, pdam_00016310-RA, pdam_00003940-RA, pdam_00021660-RA, pdam_00023353-RA, pdam_00021647-RA, pdam_00021652-RA, pdam_00012849-RA, pdam_00008237-RA, pdam_00017265-RA, pdam_00006222-RA, pdam_00025769-RA, pdam_00024279-RA
OG0000012	PP6R2_HUMAN, PP6R3_HUMAN, PP6R1_HUMAN	pdam_00004223-RA, pdam_00008792-RA, pdam_00004230-RA, pdam_00022806-RA, pdam_00008793-RA, pdam_00008789-RA, pdam_00023686-RA, pdam_00023397-RA, pdam_00004199-RA, pdam_00025939-RA, pdam_00024740-RA, pdam_00022802-RA, pdam_00023398-RA, pdam_00022807-RA, pdam_00008791-RA, pdam_00004229-RA, pdam_00008785-RA, pdam_00024588-RA, pdam_00024589-RA, pdam_00008447-RA, pdam_00004209-RA, pdam_00008784-RA, pdam_00008779-RA, pdam_00009835-RA, pdam_00024829-RA, pdam_00024828-RA, pdam_00017554-RA, pdam_00023363-RA, pdam_00023362-RA, pdam_00025628-RA, pdam_00013333-RA, pdam_00005801-RA, pdam_00005800-RA, pdam_00023361-RA, pdam_00021468-RA, pdam_00017124-RA, pdam_00026055-RA, pdam_00023355-RA, pdam_00023354-RA, pdam_00017283-RA, pdam_00020116-RA, pdam_00012703-RA, pdam_00011047-RA, pdam_00021823-RA, pdam_00021819-RA, pdam_00021820-RA, pdam_00024757-RA, pdam_00024758-RA, pdam_00021825-RA, pdam_00021822-RA, pdam_00021824-RA, pdam_00025944-RA, pdam_00022135-RA, pdam_00016761-RA, pdam_00016382-RA, pdam_00016383-RA, pdam_00014827-RA, pdam_00021821-RA, pdam_00024797-RA, pdam_00025933-RA, pdam_00022307-RA, pdam_00022306-RA, pdam_00022308-RA, pdam_00015916-RA, pdam_00016537-RA, pdam_00025497-RA, pdam_00025868-RA, pdam_00017399-RA, pdam_00025791-RA, pdam_00025949-RA, pdam_00013949-RA, pdam_00026002-RA, pdam_00004412-RA, pdam_00019790-RA, pdam_00002404-RA, pdam_00025481-RA, pdam_00023356-RA, pdam_00000469-RA, pdam_00005803-RA, pdam_00016571-RA, pdam_00016570-RA
OG0000013	NK2R_HUMAN, NK1R_HUMAN, NK3R_HUMAN	pdam_00001492-RA, pdam_00001287-RA, pdam_00001286-RA, pdam_00020411-RA, pdam_00006264-RA, pdam_00009141-RA, pdam_00006769-RA, pdam_00006770-RA, pdam_00006768-RA, pdam_00006261-RA, pdam_00018737-RA, pdam_00025886-RA, pdam_00006385-RA, pdam_00001720-RA, pdam_00025652-RA, pdam_00022799-RA, pdam_00022798-RA, pdam_00001718-RA, pdam_00001719-RA, pdam_00009498-RA, pdam_00009497-RA, pdam_00009490-RA, pdam_00009496-RA, pdam_00018748-RA, pdam_00017189-RA, pdam_00001721-RA, pdam_00022800-RA, pdam_00025816-RA, pdam_00001717-RA, pdam_00006677-RA, pdam_00007450-RA, pdam_00006676-RA, pdam_00006671-RA, pdam_00006674-RA, pdam_00006673-RA, pdam_00006669-RA, pdam_00013640-RA, pdam_00013633-RA, pdam_00002127-RA, pdam_00013641-RA, pdam_00005190-RA, pdam_00005187-RA, pdam_00005189-RA, pdam_00008074-RA, pdam_00005044-RA, pdam_00018439-RA, pdam_00016644-RA, pdam_00001065-RA, pdam_00001063-RA, pdam_00001068-RA, pdam_00001067-RA, pdam_00001062-RA, pdam_00001061-RA, pdam_00001969-RA, pdam_00002697-RA, pdam_00023055-RA, pdam_00007884-RA, pdam_00023053-RA, pdam_00023051-RA, pdam_00024373-RA, pdam_00024372-RA, pdam_00007885-RA, pdam_00007887-RA, pdam_00023054-RA, pdam_00019528-RA, pdam_00019531-RA, pdam_00012632-RA, pdam_00012631-RA, pdam_00019527-RA, pdam_00012637-RA, pdam_00012633-RA, pdam_00012634-RA
OG0000014	MTR1L_HUMAN, MTR1A_HUMAN, MTR1B_HUMAN	pdam_00023113-RA, pdam_00013280-RA, pdam_00006806-RA, pdam_00006807-RA, pdam_00004338-RA, pdam_00004279-RA, pdam_00004339-RA, pdam_00004280-RA, pdam_00018323-RA, pdam_00009962-RA, pdam_00013683-RA, pdam_00022623-RA, pdam_00002145-RA, pdam_00003322-RA, pdam_00001145-RA, pdam_00014570-RA, pdam_00021463-RA, pdam_00013621-RA, pdam_00002666-RA, pdam_00013619-RA, pdam_00002659-RA, pdam_00025740-RA, pdam_00002663-RA, pdam_00002662-RA, pdam_00002661-RA, pdam_00002660-RA, pdam_00008248-RA, pdam_00012872-RA, pdam_00003967-RA, pdam_00004481-RA, pdam_00004297-RA, pdam_00022051-RA, pdam_00011847-RA, pdam_00020044-RA, pdam_00007451-RA, pdam_00005376-RA, pdam_00007452-RA, pdam_00002669-RA, pdam_00011108-RA, pdam_00003802-RA, pdam_00023114-RA, pdam_00023115-RA, pdam_00015656-RA, pdam_00025778-RA, pdam_00020181-RA, pdam_00020180-RA, pdam_00018994-RA, pdam_00012762-RA, pdam_00013636-RA, pdam_00013637-RA, pdam_00013358-RA, pdam_00009063-RA, pdam_00016970-RA, pdam_00016972-RA, pdam_00016973-RA, pdam_00023595-RA, pdam_00013359-RA, pdam_00016223-RA, pdam_00005025-RA, pdam_00015153-RA, pdam_00019558-RA, pdam_00005085-RA, pdam_00021186-RA, pdam_00021188-RA, pdam_00021190-RA, pdam_00021187-RA, pdam_00021185-RA, pdam_00021184-RA, pdam_00021189-RA, pdam_00021181-RA, pdam_00021182-RA, pdam_00008815-RA, pdam_00000676-RA, pdam_00017219-RA, pdam_00020600-RA, pdam_00006143-RA, pdam_00002287-RA, pdam_00002321-RA, pdam_00012051-RA
OG0000015	VKOR1_HUMAN	pdam_00019850-RA, pdam_00005207-RA, pdam_00023830-RA, pdam_00013947-RA, pdam_00000272-RA, pdam_00020597-RA, pdam_00005448-RA, pdam_00015826-RA, pdam_00000354-RA, pdam_00008649-RA, pdam_00012630-RA, pdam_00019370-RA, pdam_00016566-RA, pdam_00015954-RA, pdam_00005340-RA, pdam_00000356-RA, pdam_00000669-RA, pdam_00005455-RA, pdam_00022069-RA, pdam_00008766-RA, pdam_00002099-RA, pdam_00011043-RA, pdam_00008903-RA, pdam_00006655-RA, pdam_00015693-RA, pdam_00007529-RA, pdam_00017040-RA, pdam_00012404-RA, pdam_00012406-RA, pdam_00012405-RA, pdam_00023826-RA, pdam_00023600-RA, pdam_00002213-RA, pdam_00021638-RA, pdam_00022329-RA, pdam_00003550-RA, pdam_00003548-RA, pdam_00020683-RA, pdam_00003544-RA, pdam_00003549-RA, pdam_00003545-RA, pdam_00022195-RA, pdam_00022198-RA, pdam_00022196-RA, pdam_00025190-RA, pdam_00024619-RA, pdam_00003546-RA, pdam_00017560-RA, pdam_00008518-RA, pdam_00024070-RA, pdam_00008519-RA, pdam_00017345-RA, pdam_00013791-RA, pdam_00007242-RA, pdam_00015258-RA, pdam_00009041-RA, pdam_00011497-RA, pdam_00023718-RA, pdam_00002531-RA, pdam_00020356-RA, pdam_00022940-RA, pdam_00021318-RA, pdam_00007243-RA, pdam_00014488-RA, pdam_00005959-RA, pdam_00010823-RA, pdam_00003524-RA, pdam_00021384-RA, pdam_00002297-RA, pdam_00002298-RA, pdam_00007317-RA, pdam_00012211-RA, pdam_00008683-RA, pdam_00002198-RA, pdam_00011948-RA, pdam_00025794-RA, pdam_00021665-RA, pdam_00021383-RA, pdam_00010865-RA, pdam_00016437-RA, pdam_00020602-RA, pdam_00021386-RA, pdam_00021382-RA, pdam_00010872-RA, pdam_00010862-RA, pdam_00010866-RA, pdam_00017472-RA, pdam_00010863-RA, pdam_00010868-RA, pdam_00010867-RA, pdam_00010871-RA, pdam_00020557-RA, pdam_00016436-RA, pdam_00005616-RA, pdam_00025108-RA, pdam_00025107-RA, pdam_00010879-RA, pdam_00013828-RA
OG0000018	RXFP1_HUMAN, RXFP2_HUMAN	pdam_00013388-RA, pdam_00022375-RA, pdam_00004524-RA, pdam_00019167-RA, pdam_00022372-RA, pdam_00022371-RA, pdam_00016974-RA, pdam_00013387-RA, pdam_00007572-RA, pdam_00022377-RA, pdam_00013165-RA, pdam_00007577-RA, pdam_00007568-RA, pdam_00007567-RA, pdam_00007570-RA, pdam_00007569-RA, pdam_00007566-RA, pdam_00022376-RA, pdam_00007571-RA, pdam_00007575-RA, pdam_00025117-RA, pdam_00007560-RA, pdam_00026023-RA, pdam_00007561-RA, pdam_00025589-RA, pdam_00007559-RA, pdam_00007562-RA, pdam_00007564-RA, pdam_00025118-RA, pdam_00007574-RA, pdam_00004262-RA, pdam_00005510-RA, pdam_00025988-RA, pdam_00015043-RA, pdam_00011259-RA, pdam_00011255-RA, pdam_00008850-RA, pdam_00001051-RA, pdam_00022462-RA, pdam_00012380-RA, pdam_00013301-RA, pdam_00013302-RA, pdam_00019641-RA, pdam_00000545-RA, pdam_00021711-RA, pdam_00019640-RA, pdam_00008847-RA, pdam_00008465-RA, pdam_00007200-RA, pdam_00007202-RA, pdam_00007203-RA, pdam_00018595-RA, pdam_00012332-RA, pdam_00020774-RA, pdam_00004334-RA, pdam_00013650-RA, pdam_00012098-RA, pdam_00012095-RA, pdam_00012097-RA, pdam_00012094-RA, pdam_00010604-RA, pdam_00016281-RA, pdam_00012349-RA, pdam_00006417-RA, pdam_00005599-RA, pdam_00025671-RA, pdam_00013164-RA, pdam_00022011-RA, pdam_00022484-RA, pdam_00010509-RA, pdam_00013168-RA, pdam_00013167-RA, pdam_00013166-RA, pdam_00015076-RA, pdam_00023360-RA
OG0000019	MFAP4_HUMAN, FCN1_HUMAN, FCN2_HUMAN	pdam_00003889-RA, pdam_00002747-RA, pdam_00014212-RA, pdam_00003869-RA, pdam_00025773-RA, pdam_00023681-RA, pdam_00018061-RA, pdam_00002422-RA, pdam_00019098-RA, pdam_00023658-RA, pdam_00014210-RA, pdam_00017934-RA, pdam_00013758-RA, pdam_00013759-RA, pdam_00000936-RA, pdam_00018073-RA, pdam_00018091-RA, pdam_00018074-RA, pdam_00018088-RA, pdam_00021992-RA, pdam_00024248-RA, pdam_00014208-RA, pdam_00015688-RA, pdam_00012279-RA, pdam_00018090-RA, pdam_00021994-RA, pdam_00018089-RA, pdam_00016936-RA, pdam_00016935-RA, pdam_00012277-RA, pdam_00012281-RA, pdam_00024874-RA, pdam_00012280-RA, pdam_00018072-RA, pdam_00002806-RA, pdam_00015630-RA, pdam_00021167-RA, pdam_00008206-RA, pdam_00023855-RA, pdam_00021166-RA, pdam_00018519-RA, pdam_00019939-RA, pdam_00019938-RA, pdam_00023854-RA, pdam_00021162-RA, pdam_00025631-RA, pdam_00020510-RA, pdam_00020511-RA, pdam_00015623-RA, pdam_00021889-RA, pdam_00015628-RA, pdam_00020507-RA, pdam_00020508-RA, pdam_00021890-RA, pdam_00015629-RA, pdam_00009500-RA, pdam_00023419-RA, pdam_00020131-RA, pdam_00024525-RA, pdam_00011193-RA, pdam_00018818-RA, pdam_00003191-RA, pdam_00018814-RA, pdam_00011360-RA, pdam_00023168-RA, pdam_00002146-RA, pdam_00005006-RA, pdam_00005008-RA, pdam_00005007-RA, pdam_00017187-RA, pdam_00002148-RA, pdam_00006254-RA, pdam_00005011-RA, pdam_00015488-RA, pdam_00015487-RA, pdam_00015484-RA, pdam_00012857-RA, pdam_00012856-RA, pdam_00018815-RA, pdam_00002196-RA, pdam_00002189-RA, pdam_00002190-RA, pdam_00026009-RA, pdam_00002183-RA, pdam_00002188-RA, pdam_00002180-RA, pdam_00002182-RA, pdam_00002194-RA, pdam_00024591-RA, pdam_00010210-RA, pdam_00013693-RA
